tweet_text,,Sentiment,Score
"This movie doesn't deserve 5 stars . It's a 10 on 10 . Alia Bhatt ,Vijay raz ,Ajay Devgn everyone just shines and Excel beautifully . I have always loved Alia's growth as an actor and she is one of the best we have . Sanjay Leela Bhansali is a maestro and he prooves it again. He beautifully paints the movie .I wish the people of this country grow up and get some brain and stop spreading unnecessary hate.",,neutral,0.516738176
"Seldom will you find, a performance so sublime, as you're taken on the journey, of Gangubai Kathiawadi, through a life she did not plan, having been sold by her man, into the streets of female labour, of the kind, most would not savour.

You can applaud as many western best female actors to your hearts content, but I've not seen any of them match the overwhelming and outstanding performance that Alia Bhatt gives us here, as she takes us on a journey through the brothels of Mumbai, of the pain and the punishment inflicted once you've been imprisoned in a world with no escape, and the incredible way that hope and belief can change the lives of everyone around you.

Absolutely outstanding!",,negative,0.14312546
"This is only the 2nd subtitled movie I've watched from India (1st one Badhaai Do) and I'm pleasantly surprised by the tough storyline of this movie and all the actor's emotional performances to help tell the story. To be honest, the inclusion of a little song and dance in such a harsh subject movie is a bit new to me but it was still a very good movie to see even subtitled. For those that have not seen any Indian movies, go see this one. It's well done. You may want to sit up a little closer to read the subtitles easier. I will be keeping my eye out for other movies from India.",,positive,0.637236774
"Gorgeous Bhansali sets, photography, soulful music and a career best performance by Alia Bhatt. Her voice, mannerisms and acting is spot on. Ajay devgan gives a powerful guest appearance.",,positive,0.882842302
"This was a good movie with top notch direction and acting by everyone especially Alia Bhatt who was really outstanding in her portrayal of Gangubhai.

However at 2hrs 32 mins the movie was extremely long and all of the songs were a complete hindrance and nuisance to the continuity of the film. Movies like these although quite good,have absolutely no repeat value whatsover. In other words after 5 or 10 years this motion picture is definitely not one you will ever want to watch again. Once is definitely enough!",,positive,0.890278399
"I wore my heart on sleeve and put my life in danger amid omicron surge to step in movie theater and got a piece of crap. Alia bhatt is a misfit don't go by paid reviews on YouTube they have taken a hefty money to put bhatt on cloud 9 The movie is just glorifying a pimp and whole movie seems like shot in inverter light, music is pretty bad, WTF was background score, dholida song dance when you see it in theatre is pretty bad seems like forced garba with no joy, just giving one star for Ajay devgan.",,negative,0.007274388
Whoever criticize the movie people label him as hate mongers but the fact is movie is very mediocre and story is very basic. Alia performance is good but story is very dragged. Not a good watch.,,negative,0.333649397
"No where near to Sanjay leela Bhansali's best. Average Movie with below par ending. Acting is good with Ajay Devgn and Vijay Raaz best in their roles and not to forget Jim Sarbh. Alia Bhatt main character is good. Music is also a big let down.

Didn't meet the expectations I have with the movie.",,positive,0.77433449
"Guys don't listen to haters,they are just a blind haters of bollywood just don't care, just go watch urself movie is fabulous treat for movies lovers and sanjey Leela did great movies.",,positive,0.671489656
"Bollywood doing what it do best. Glorified of criminals, making them hero.

Story- Glorification of Prostitution

Alia Bhatt - Looks child Ajay Devgn - sultan mirza.

Casting is bad. Sets are good but don't represent real .

Bad songs. Thin sory.",,negative,0.225951657
